member_id,first_name,last_name,date_of_birth,ssn_last4,zip,plan_code
MEMBER_A_00001,Danielle,Johnson,1958-02-24,1824,03279,PPO_GOLD
MEMBER_A_00002,Jeffrey,Doyle,1984-08-29,4506,32099,HMO_SILVER
MEMBER_A_00003,Patricia,Miller,1967-11-05,3657,18290,MEDICARE_A
MEMBER_A_00004,Anthony,Robinson,1973-05-09,1679,88697,EPO_BRONZE
MEMBER_A_00005,Anthony,Gonzalez,1982-11-22,8935,11396,HMO_SILVER
MEMBER_A_00006,Amy,Robinson,1978-11-21,9674,55303,PPO_GOLD
MEMBER_A_00007,Lisa,Smith,1993-03-08,0520,03906,HMO_SILVER
MEMBER_A_00008,Helen,Peterson,1950-04-05,1535,28658,EPO_BRONZE
MEMBER_A_00009,Susan,Rogers,1946-02-13,3811,66238,PPO_GOLD
MEMBER_A_00010,Colin,Abbott,1979-11-05,9863,03479,EPO_BRONZE
MEMBER_A_00011,Lindsay,Blair,1975-05-23,9195,26063,PPO_GOLD
MEMBER_A_00012,Teresa,Gray,1976-06-07,8928,54988,MEDICARE_A
MEMBER_A_00013,Maria,Montgomery,11/14/1996,3611,58879,EPO_BRONZE
MEMBER_A_00014,Barbara,Bush,1943-01-09,9654,36464,PPO_GOLD
MEMBER_A_00015,Jeremy,Roberts,1945-04-07,0106,99459,EPO_BRONZE
MEMBER_A_00016,Jesse,Garcia,1958-05-06,2615,91507,EPO_BRONZE
MEMBER_A_00017,Cynthia,Diaz,1964-06-06,6924,44598,EPO_BRONZE
MEMBER_A_00018,Jason,Adams,2001-10-25,4552,20380,PPO_GOLD
MEMBER_A_00019,Deborah,Lynch,1951-04-18,3527,44119,HMO_SILVER
MEMBER_A_00020,Jessica,Martin,1965-01-16,1674,12157,HMO_SILVER
MEMBER_A_00021,Veronica,Bowman,1976-10-03,6224,12677,PPO_GOLD
MEMBER_A_00022,Gabrielle,Cameron,1991-03-20,5881,45083,EPO_BRONZE
MEMBER_A_00023,Jeremy,Johnson,1960-10-26,9891,34672,MEDICARE_A
MEMBER_A_00024,Joseph,Clark,03/25/2002,0711,95648,EPO_BRONZE
MEMBER_A_00025,Nancy,Edwards,1983-04-05,7527,70285,HMO_SILVER
MEMBER_A_00026,Randall,Rocha,1970-04-14,2045,49616,EPO_BRONZE
MEMBER_A_00027,Joseph,Wright,1977-01-18,1291,72358,PPO_GOLD
MEMBER_A_00028,Jose,Richards,1999-04-03,4803,82398,HMO_SILVER
MEMBER_A_00029,Reginald,Robinson,2005-11-01,5925,75675,HMO_SILVER
MEMBER_A_00030,William,Davis,1943-02-09,3150,92350,HMO_SILVER
MEMBER_A_00031,Daniel,Burton,1992-04-10,1139,06007,EPO_BRONZE
MEMBER_A_00032,Robert,Brown,1965-03-09,3733,37931,EPO_BRONZE
MEMBER_A_00033,Wendy,Rice,02/02/2004,1307,30513,MEDICARE_A
MEMBER_A_00034,Michelle,Smith,1987-07-26,1654,49824,PPO_GOLD
MEMBER_A_00035,Erin,Herrera,1957-08-11,4554,59430,HMO_SILVER
MEMBER_A_00036,Danielle,Rodriguez,1968-09-10,5977,21320,MEDICARE_A
MEMBER_A_00037,Shawn,Mckay,1997-10-21,6065,46567,PPO_GOLD
MEMBER_A_00038,Jose,Mason,1951-10-16,3432,87842,HMO_SILVER
MEMBER_A_00039,Rita,Harrell,1959-09-12,4374,91989,PPO_GOLD
MEMBER_A_00040,Danielle,Lynch,1950-02-01,1169,79841,MEDICARE_A
MEMBER_A_00041,Kathryn,Ryan,1991-05-22,2803,70011,EPO_BRONZE
MEMBER_A_00042,Alyssa,Smith,1961-05-24,4010,21418,EPO_BRONZE
MEMBER_A_00043,Andrew,Hickman,1997-12-29,7573,49736,HMO_SILVER
MEMBER_A_00044,Marie,Parker,1943-10-28,4422,83887,MEDICARE_A
MEMBER_A_00045,Natalie,Arroyo,1945-08-26,9125,28786,EPO_BRONZE
MEMBER_A_00046,Todd,Jones,1990-03-14,5313,07332,MEDICARE_A
MEMBER_A_00047,Katie,Anderson,1971-05-15,3752,04208,EPO_BRONZE
MEMBER_A_00048,Andrea,Baker,1997-07-30,5168,52582,MEDICARE_A
MEMBER_A_00049,Rodney,Lewis,1975-08-05,4386,08676,EPO_BRONZE
MEMBER_A_00050,Jessica,Harris,1960-07-28,3456,74342,HMO_SILVER
MEMBER_A_00051,Wanda,Santos,1968-11-29,5155,27870,PPO_GOLD
MEMBER_A_00052,Zachary,Martinez,1954-10-30,8179,51857,HMO_SILVER
MEMBER_A_00053,Matthew,Chapman,1955-03-10,7517,18727,HMO_SILVER
MEMBER_A_00054,Jeffrey,Jones,1981-08-26,4339,18302,PPO_GOLD
MEMBER_A_00055,Jeremy,Whitehead,1996-09-25,4040,97648,PPO_GOLD
MEMBER_A_00056,Chad,Young,1984-02-25,9197,70645,PPO_GOLD
MEMBER_A_00057,Jason,Anderson,2001-09-28,4304,97913,EPO_BRONZE
MEMBER_A_00058,Ashley,Kennedy,10/14/1991,9577,56156,EPO_BRONZE
MEMBER_A_00059,Lindsey,Lee,1946-05-25,9560,52351,HMO_SILVER
MEMBER_A_00060,Ryan,Henderson,1970-10-28,5930,28747,HMO_SILVER
MEMBER_A_00061,Jessica,Nunez,2004-12-14,2266,66785,EPO_BRONZE
MEMBER_A_00062,Corey,Powell,1962-05-24,8085,11916,MEDICARE_A
MEMBER_A_00063,Michelle,Wright,1952-07-21,0771,14372,HMO_SILVER
MEMBER_A_00064,Shane,Henderson,1958-05-20,,82241,MEDICARE_A
