memberIdentifier,givenName,familyName,birthDate,taxIdLast4,postal_code,planName
MEMBER_C_00001,KAYLA,Le,1954-03-11,3266,02672,Gold PPO
MEMBER_C_00002,LISA,Smith,1993-03-08,0520,03906,Bronze EPO
MEMBER_C_00003,CAROLINE,Martinez,1102291200,4669,20677,Bronze EPO
MEMBER_C_00004,STEPHEN,Solis,1984-01-22,2697,49673,Gold PPO
MEMBER_C_00005,DANIEL,Smith,1960-09-13,1801,86647,Bronze EPO
MEMBER_C_00006,ANNE,Reid,1981-03-20,6658,64039,Bronze EPO
MEMBER_C_00007,RODNEY,Bernard,2005-09-11,1876,89354,Medicare Part A
MEMBER_C_00008,BRENT,Wright,1995-12-27,6570,7686,Silver HMO
MEMBER_C_00009,ROBERT,Brown,-151977600,3733,37931,Silver HMO
MEMBER_C_00010,CASSANDRA,Robbins,1953-06-08,1403,95933,Bronze EPO
MEMBER_C_00011,CATHERINE,Edwards,1987-05-30,6689,15293,Medicare Part A
MEMBER_C_00012,ANNA,Torres,2005-08-06,2662,23207,Bronze EPO
MEMBER_C_00013,TODD,Ramos,-377913600,5934,83308,Gold PPO
MEMBER_C_00014,MORGAN,Cook,1978-06-17,1958,97371,Medicare Part A
MEMBER_C_00015,CHRISTIAN,Scott,1995-02-08,7253,38975,Silver HMO
MEMBER_C_00016,WILLIAM,Dougherty,1942-11-11,5355,44237,Gold PPO
MEMBER_C_00017,KAREN,Castaneda,1038960000,1312,24357,Gold PPO
MEMBER_C_00018,MOLLY,Knight,1966-06-14,5688,69828,Gold PPO
MEMBER_C_00019,AMANDA,Gibson,1984-05-28,6797,53425,Gold PPO
MEMBER_C_00020,MITCHELL,Ramos,1032998400,3613,63994,Bronze EPO
MEMBER_C_00021,KIMBERLY,Knapp,1997-08-09,0243,46956,Silver HMO
MEMBER_C_00022,RANDY,Simpson,2001-10-24,7048,13000,Gold PPO
MEMBER_C_00023,JOSEPH,Mahoney,887846400,8689,00075,Silver HMO
MEMBER_C_00024,JEFFREY,Jones,367632000,4339,18302,Bronze EPO
MEMBER_C_00025,HEATHER,Gates,1990-07-12,8701,20636,Medicare Part A
MEMBER_C_00026,JEFFERY,Wright,1989-10-23,0842,37701,Silver HMO
MEMBER_C_00027,WANDA,Santos,1968-11-29,5155,27870,Silver HMO
MEMBER_C_00028,KEVIN,Stewart,1989-08-15,3258,20033,Bronze EPO
MEMBER_C_00029,JENNIFER,Ortiz,416966400,5491,12241,Medicare Part A
MEMBER_C_00030,ANGELA,Garcia,815011200,1070,52522,Silver HMO
MEMBER_C_00031,MARIA,Rodgers,1985-03-27,9659,99642,Gold PPO
MEMBER_C_00032,MICHAEL,Bolton,-374976000,1317,78386,Medicare Part A
MEMBER_C_00033,JOHN,Davidson,1997-09-09,7827,14954,Medicare Part A
MEMBER_C_00034,ERIK,Watson,-357609600,5764,92125,Gold PPO
MEMBER_C_00035,ERIC,Harrison,2003-12-19,3848,88185,Bronze EPO
MEMBER_C_00036,ABIGAIL,Wilson,1953-07-22,7900,29393,Medicare Part A
MEMBER_C_00037,SHANNON,Frazier,1962-09-26,7673,9870,Bronze EPO
MEMBER_C_00038,DARLENE,Ross,2004-10-02,8423,31196,Silver HMO
MEMBER_C_00039,TRACY,Browning,1944-11-06,0317,98177,Silver HMO
MEMBER_C_00040,MARY,Stephenson,1942-06-28,0231,92802,Gold PPO
MEMBER_C_00041,KEVIN,Pope,1955-01-08,0964,30008,Bronze EPO
MEMBER_C_00042,ASHLEE,Sparks,1951-03-21,0090,98431,Silver HMO
MEMBER_C_00043,AMANDA,Sharp,1004054400,9787,69542,Gold PPO
MEMBER_C_00044,TINA,Gould,1944-12-13,0653,56627,Silver HMO
